pH,Oxygen,Chloride,Nitrates,Ammonium,Orthophosphate,Phosphate,Chlorophyll,fluid_velocity,river_depth,season
0.14785807620195618,0.9568237337131216,-0.07743585183462735,0.5434619575313338,1.0705432465446842,0.36350639284042724,0.740608250010226,0.10096120789498461,medium,low,autumn
0.08083357241109262,-0.049378440006617064,0.25077632167922503,1.8947024717643943,0.44138040309918536,-0.2155237780924171,-0.1370282936550161,-0.14911398425596553,medium,low,autumn
0.06407744646337674,0.6214230091398751,0.33042076300156886,0.4532022768163553,0.285273166649001,-0.3318448873013132,-0.33466325515316786,-0.32563764930369504,high,low,autumn
-0.7737288509224373,0.9987488242847772,-0.833629848475806,-0.5210713356070892,-0.7780159372778347,-0.6788337606757471,-0.1304568085828691,-0.6100368874361483,high,low,autumn
-0.43860633196811194,0.49564773742490825,-0.2294454038208213,-0.09101050396513284,-0.626252748078137,-0.5779649021366675,-0.701783682392663,-0.29131360332219214,high,low,autumn
-2.030438297001156,0.831048461998154,-0.741567725441914,-0.7042453935286633,-0.7487771577072507,-0.6809799066021105,,-0.5315819251927129,high,low,autumn
-1.02507074013818,1.417999730001335,-0.65592854122434,0.012522659207930775,-0.5260055038361349,-0.0972282146312667,0.29865135844165414,-0.42370635210798924,high,low,autumn
0.6505418546334448,0.32794737513828504,-0.19561792605487957,-0.12286686186453705,-0.7487771577072507,-0.3118428072676063,-1.0715523200343664,0.002892505090690425,medium,low,autumn
-0.019703183275205705,1.2502993677147116,0.48521358847483387,0.33374093469358956,-0.6429606221184707,-0.5779649021366675,-0.7115918690675092,-0.6247471928567923,high,low,autumn
-1.2093881255630594,0.8771660616269759,-0.5542320099659708,-0.056499449574111675,-0.6652377875055823,-0.6037186532530282,-0.8900027846829623,-0.07065902201253021,medium,low,autumn
-3.873612151249943,0.7052731902831871,,-0.19454366713819646,-0.8044700711750297,-0.7067336577184712,-1.0548784026871278,,medium,low,autumn
-2.3655608159554813,0.914898643141466,,0.23551716450375998,-0.8044700711750297,-0.7067336577184712,-1.0352620293374353,,medium,low,autumn
-0.30455732438638183,1.0825990054280885,-0.84690392202953,-0.5184166391154722,-0.7599157404008064,-0.6867315776847644,-1.0286905442652883,,high,low,autumn
0.8181031141106068,-0.42670425515151916,-0.11790036637743109,0.15056687677201555,0.39292756838221776,-0.3290119746785135,0.399969926792816,-0.4089960466873452,medium,medium,autumn
0.14785807620195618,0.28602228456662937,-0.3026669063268471,-0.5290354250819402,0.3889733715260054,-0.49924426955765805,-0.09043940694949643,-0.48745100893078047,medium,medium,autumn
-1.1926319996153434,1.0825990054280885,-0.7115940109657631,0.43727409786665306,-0.13615510956168225,-0.6226047374050261,-0.505619948895738,-0.45312696294927746,high,medium,autumn
-0.8575094806610182,0.7052731902831871,-0.27055221224525683,0.2992298803025684,3.247189383605889,0.2397166958077865,1.0048407990305839,-0.5217750549122834,medium,medium,autumn
0.8181031141106068,0.5794979185682195,0.28010774227374413,-0.7838862882771737,0.34118885177065117,-0.5178728161984923,0.2643227050796923,0.35741086572821384,low,medium,autumn
-0.6899482211838562,0.36987246570994065,0.12831228824809424,0.577973011922355,0.8593557186748664,-0.3836957728822528,1.708185865483808,3.0136016811825215,low,medium,autumn
0.48298059515628294,0.831048461998154,-0.04574935367412503,0.36825198908461076,4.329469771025237,-0.380519476911235,0.124065635629391,-0.02162467061038312,high,medium,autumn
0.48298059515628294,1.0406739148564328,-0.8094367789343414,-0.6856625180873441,-0.789265905798326,-0.6848429692695647,-0.9646430852785423,-0.5070647494916394,medium,medium,autumn
-0.019703183275205705,1.1664491865714004,1.8633621604961437,0.8646802330169926,0.23141811932565878,-0.07147446351490595,-0.2702234686994281,-0.4433200926688481,medium,medium,autumn
0.14785807620195618,1.0825990054280885,-0.17078256263178318,0.4903680276989934,-0.6011909370176365,-0.29467363985669914,-0.22608662866262,-0.5413887954731422,medium,medium,autumn
-0.18726444275236762,0.5794979185682195,-0.7156618722160978,-0.26091107942862185,-0.123624204031432,-0.6244933458202259,-0.8637168443943745,-0.5659059711742158,high,medium,autumn
-0.35482570222953097,-1.0975057042980114,0.43789793919462433,1.1832438120110345,-0.5956216456708586,1.6540268612812645,-1.0146648373202583,-0.3452513898645539,low,medium,autumn
0.48298059515628294,0.32794737513828504,-0.07293979466320485,-0.4493945303334298,0.4486204818499967,-0.4251593121795937,-0.3564374295713267,0.5030428893925908,high,medium,autumn
1.4380797741761067,0.7891233714264984,-0.0530286843326189,-0.26887516890347285,-0.5552442834067188,-0.380519476911235,-0.38105597812519065,0.4491051028502289,high,medium,autumn
-1.1926319996153434,1.1245240959997447,0.012271193633281387,11.247198211731137,-0.6151141653845812,-0.4234423954385029,-0.5732964369521771,-0.5560991008937864,high,medium,autumn
-0.35482570222953097,0.5920754457397159,1.2244938462330417,0.5646995294642699,1.8492972555646372,-0.5092882324930388,-0.5216072931757374,0.684469989580535,medium,medium,autumn
0.6505418546334448,0.6214230091398751,-0.5227596097660123,-0.43081165489211076,-0.32088850353430504,-0.5378748962321992,-0.555445537203957,0.34613296490572015,low,high,autumn
1.387811396332959,1.585700092287958,-0.011707777947639286,-0.645842070713089,-0.5694459763410025,-0.6414908215570241,-0.6386189602066531,3.334286339352564,low,high,autumn
